Route,TrafficCondition,RoadCondition,WeatherCondition,BusCapacity,AvgSpeed,DistanceToDestination,TimeOfDay,DayType,Delay
Route_1,medium,average,sunny,17,51.40779298754474,8.319391293232323,afternoon,weekend,10.238718119101284
Route_1,high,poor,sunny,23,34.532840487801614,22.143673629519594,night,weekend,31.620274142330203
Route_1,low,good,sunny,36,49.923330544176395,24.659662799129375,evening,weekend,30.715376684065593
Route_1,high,good,rainy,18,50.34226192633752,19.924264465285503,night,weekend,30.24511013221551
Route_1,medium,good,foggy,40,44.216349019064936,5.292586352376734,evening,weekend,32.317518646126814
Route_1,medium,average,foggy,48,48.865701621189146,24.61449817324037,night,weekday,15.693345490484012
Route_1,low,good,rainy,17,45.385267656471584,13.849976102394427,night,weekend,21.364711569493714
Route_1,high,poor,rainy,14,53.99805444984833,28.482942789090973,night,weekday,44.291397999546334
Route_1,low,average,sunny,13,44.97245768377875,8.631614914957712,night,weekday,6.6930606259898795
Route_1,low,average,rainy,22,49.43499811528379,17.646072023902654,afternoon,weekday,23.669193096368087
Route_1,high,average,sunny,26,38.52372394708458,5.057303668720782,morning,weekend,40.964099557218965
Route_1,high,good,sunny,34,21.316347648393645,6.673132285770363,morning,weekend,28.45836946064742
Route_1,low,average,rainy,22,32.30921832136137,14.538571999032106,morning,weekend,28.263410795587923
Route_1,low,poor,foggy,20,32.81376139111941,15.949891416987459,evening,weekend,46.565899884563045
Route_1,low,poor,rainy,49,28.168747493350942,6.9267262046715725,night,weekend,35.20682151278222
Route_1,medium,average,rainy,21,45.018445723784964,20.677794507053616,evening,weekday,35.33161858983156
Route_1,low,average,sunny,35,50.762190167293994,14.413296683847166,evening,weekend,10.309071239181964
Route_1,high,poor,rainy,22,28.70357094593039,26.518774936195005,night,weekday,36.34937977635366
Route_1,high,good,rainy,40,35.732971360664564,23.447475178234672,morning,weekday,39.777952096860666
Route_1,medium,good,sunny,24,29.41276772101117,5.9526604463565125,afternoon,weekend,11.356518620730629
Route_1,high,average,rainy,41,56.22601909418138,19.679621924919637,evening,weekday,35.83031839558465
Route_1,high,poor,foggy,38,42.28433080058336,26.157660106577882,night,weekday,44.93947071109663
Route_1,low,average,sunny,19,35.28843392952147,20.03066033791798,evening,weekday,12.718826541963177
Route_1,medium,poor,foggy,43,30.80780515985595,24.72708021066824,night,weekend,16.679550861225206
Route_1,medium,average,sunny,38,45.50750117578704,16.36122529391585,morning,weekend,26.366490910621085
Route_1,low,good,rainy,27,42.36959865082649,25.515667875090628,morning,weekend,36.390020036078354
Route_1,medium,poor,foggy,36,22.870195095001428,22.73389841739781,night,weekend,27.60201489749223
Route_1,medium,poor,foggy,15,33.4374203795156,21.928113904256474,night,weekday,30.894459389105958
Route_1,medium,good,rainy,10,26.479201341621923,23.690852733395513,night,weekend,11.449731228118289
Route_1,high,poor,rainy,25,25.679152178497905,13.728792675506394,afternoon,weekend,53.20928649139484
Route_1,low,good,rainy,10,37.01927653184405,5.884816001260772,afternoon,weekday,19.080093537634156
Route_1,medium,good,rainy,44,22.310432035880577,7.429341197017754,morning,weekend,29.72154110817097
Route_1,medium,poor,foggy,37,36.638672735134335,7.189150189454048,morning,weekend,41.46014614770403
Route_1,low,average,foggy,27,52.62645845887677,21.558116270038422,afternoon,weekday,22.316189387838016
Route_1,high,poor,rainy,30,34.1931975990695,20.317186457309425,evening,weekend,49.09563344350564
Route_1,medium,poor,rainy,36,21.72912043204461,13.53062598386889,afternoon,weekend,32.315066279948326
Route_1,medium,poor,sunny,21,30.210779469289477,25.114180741707553,morning,weekend,31.873709888201674
Route_1,low,average,sunny,41,36.13783365207472,25.990346361944486,evening,weekend,23.97152351430323
Route_1,high,poor,foggy,46,58.74775880578373,24.139566606079704,afternoon,weekday,52.26347053842869
Route_1,high,average,rainy,33,50.32024922861467,22.321795606102004,morning,weekday,51.731263959778886
Route_1,medium,average,rainy,17,57.01149896385812,5.198197510713927,night,weekday,27.046678835726713
Route_1,medium,good,foggy,20,35.90418926555546,9.65441561792378,morning,weekday,25.463126872203162
Route_1,low,poor,sunny,44,35.395846040485544,22.562220288253094,evening,weekday,39.87216646748863
Route_1,low,average,rainy,12,59.44250337151355,29.989605377186923,afternoon,weekend,22.404685358024633
Route_1,high,poor,rainy,49,30.029732772040873,16.197808754689767,night,weekend,46.43297410622177
Route_1,high,good,rainy,50,53.86423422295075,6.68164664605931,afternoon,weekend,29.28926174170421
Route_1,low,good,rainy,17,21.57805400800679,12.05701351556202,morning,weekday,30.59424867327328
Route_1,high,average,sunny,19,25.02033706500678,17.89500199858427,night,weekend,39.676058122614954
Route_1,medium,average,sunny,32,49.649010330131446,5.771175324925205,night,weekend,8.526628630355086
Route_1,low,poor,foggy,32,36.236329039027936,21.768296921007774,morning,weekday,34.87928351812051
Route_1,low,poor,foggy,21,42.54855006553539,22.812780815376964,evening,weekend,27.31696821758272
Route_1,low,good,foggy,21,28.01891891981893,6.416164789494295,morning,weekday,32.134202272248096
Route_1,high,poor,rainy,16,21.910467934552887,6.997826097065819,afternoon,weekend,41.39016716999286
Route_1,medium,good,foggy,32,33.59746654487175,27.11818599963117,night,weekend,11.279057126044457
Route_1,medium,poor,foggy,22,51.02879248218423,12.46706461545643,afternoon,weekday,32.57989931407982
Route_1,medium,poor,rainy,31,41.26895191279703,21.839231008673046,evening,weekend,32.661627397267345
Route_1,low,good,foggy,43,28.347793896311295,6.549107579501921,afternoon,weekend,14.325474778951621
Route_1,medium,poor,foggy,12,36.02295972057277,10.116905730629352,night,weekend,35.16802410377693
Route_1,high,poor,sunny,21,59.620308916499496,22.90371258708347,afternoon,weekday,42.46883391211344
Route_1,medium,poor,rainy,30,35.861649800973225,9.554898016148275,morning,weekday,40.94944508665198
Route_1,medium,good,foggy,15,57.8767066518521,7.9645078080847345,evening,weekday,28.943193666296406
Route_1,medium,good,rainy,19,41.93364405262628,29.593923573288812,evening,weekend,21.365872159708623
Route_1,high,average,sunny,12,20.77000419827175,15.31657531413168,evening,weekend,31.95454820109949
Route_1,high,poor,rainy,27,58.59460763038504,6.759023493251191,afternoon,weekday,42.19475937149045
Route_1,low,good,foggy,43,40.63625476437666,13.68932484331692,afternoon,weekday,16.29354009476074
Route_1,high,average,foggy,35,26.31199615795579,18.208979401286804,morning,weekday,41.06384924190354
Route_1,low,good,foggy,27,37.976500102696065,29.866053236546477,morning,weekend,38.875717364707654
Route_1,high,average,sunny,27,20.77736077680326,14.036918048939121,morning,weekday,44.566656925237595
Route_1,high,average,foggy,47,40.286744209679576,26.238956798632078,evening,weekday,49.25579073395571
Route_1,high,average,rainy,10,34.648342980643164,14.350466567059303,night,weekday,40.02585303206087
Route_1,high,poor,sunny,33,34.283019404500195,26.705320247180325,evening,weekday,45.40541284054153
Route_1,medium,poor,rainy,48,28.359603805282813,12.455600328653496,morning,weekday,40.072576438383045
Route_1,low,poor,foggy,27,33.21572997610244,10.614992067303316,night,weekday,27.277768050895382
Route_1,high,poor,sunny,35,24.72354111136054,16.14240850752118,afternoon,weekend,31.78564826721628
Route_1,medium,poor,rainy,45,54.67706296079339,23.221269093440718,evening,weekday,40.501920365295945
Route_1,low,average,rainy,31,32.713475074651775,18.053768807741136,morning,weekday,25.14367346796466
Route_1,medium,average,foggy,29,40.09671103925522,17.8193333448649,morning,weekday,28.875433079519844
Route_1,high,average,sunny,23,52.2599653863531,15.283843554601956,morning,weekday,40.568972797062045
Route_1,low,good,sunny,14,44.10726291543358,8.601201751362073,night,weekday,5.971614734435598
Route_1,low,good,rainy,24,25.039955112117052,15.096588788548337,night,weekend,12.358398876101417
Route_1,low,average,rainy,38,49.64750430340268,19.03119889667667,afternoon,weekend,13.140312540321158
Route_1,low,good,rainy,37,28.385883908363844,17.649502768780668,afternoon,weekday,20.313750659486928
Route_1,medium,good,rainy,29,22.66440256084527,26.057376401544772,night,weekend,11.087555653824495
Route_1,low,average,foggy,30,50.751766290155444,18.424305693360274,morning,weekday,34.38019237829292
Route_1,high,average,rainy,31,31.99574109521909,5.522634827529983,morning,weekday,48.491575572700995
Route_1,medium,poor,sunny,47,32.48609695290064,23.703059089763013,afternoon,weekday,26.72171404203467
Route_1,low,average,foggy,19,44.718318909005674,8.24955763779951,night,weekend,19.788927696734206
Route_1,low,good,foggy,24,30.49522807839992,18.983915941883993,afternoon,weekday,26.952505795910707
Route_1,high,good,sunny,17,23.78123684630351,18.813531223375037,morning,weekend,27.749890713818544
Route_1,medium,good,sunny,22,27.97707527256405,29.854313478014266,evening,weekend,16.628076418648924
Route_1,medium,average,foggy,12,58.57164908779008,21.083099792932735,evening,weekday,30.436191941005575
Route_1,medium,poor,foggy,38,51.844794105310314,16.87349226176632,evening,weekend,31.551548109972845
Route_1,low,good,rainy,50,36.00477900059916,24.551989135996077,evening,weekend,34.62398555414419
Route_1,medium,poor,sunny,20,57.575337448852764,28.20778427060242,night,weekend,9.00725835454968
Route_1,high,poor,foggy,20,38.61782398386113,18.40327500982835,morning,weekend,54.322494293989166
Route_1,medium,good,sunny,31,32.749547546244,12.717085961679807,evening,weekday,15.708179632650806
Route_1,high,poor,foggy,49,46.76320826909084,8.259761636276659,evening,weekend,52.00892167034343
Route_1,medium,average,rainy,28,31.960783333392033,7.873967846933326,evening,weekend,32.49586458750653
Route_1,medium,average,foggy,36,23.873537658865192,13.245286438423749,night,weekend,19.9471002176997
Route_1,medium,poor,foggy,32,47.63179652066803,19.755137590586816,afternoon,weekday,31.67774990726762
Route_1,medium,good,foggy,28,40.667323929060124,24.411317900022475,evening,weekend,30.3880364625388
Route_1,medium,good,rainy,50,41.05514880187725,24.479182874599065,night,weekend,15.88041463523759
Route_1,high,poor,foggy,14,28.743686441340547,17.543377221193865,night,weekday,57.017677499268025
Route_1,medium,average,foggy,31,41.401210439959655,9.972867668543884,afternoon,weekend,27.172756225235894
Route_1,medium,good,rainy,10,51.758355835037655,21.616470471782556,afternoon,weekday,21.21236491415978
Route_1,low,good,rainy,15,53.42061840053414,10.854962610500037,morning,weekday,35.15023434911856
Route_1,high,average,rainy,33,44.80182912750195,23.187677033369585,night,weekday,38.03363722373712
Route_1,medium,average,rainy,43,39.30070254450912,13.54962105526429,afternoon,weekday,17.235604815633252
Route_1,high,poor,foggy,30,58.04189647918208,25.748731544326233,morning,weekend,51.94088562600021
Route_1,high,average,sunny,50,53.93211981017953,28.22841670392853,night,weekend,21.264894551365728
Route_1,low,good,rainy,28,28.570746333542264,8.804964275379005,morning,weekday,28.79282426533799
Route_1,medium,good,sunny,31,59.53224409939832,16.93765504174529,night,weekend,8.931085102802435
Route_1,medium,poor,rainy,41,58.88167164023953,13.302874489110756,afternoon,weekday,39.73721811867149
Route_1,high,poor,foggy,45,31.367757644170254,26.300900074091786,afternoon,weekend,42.76889135106405
Route_1,low,average,rainy,22,22.66340346904822,16.728582759207853,morning,weekend,26.181443822127292
Route_1,low,average,sunny,50,20.08315866305681,17.64255429127422,afternoon,weekday,14.147162722993375
Route_1,medium,poor,foggy,50,49.1151714340284,16.235373987687673,afternoon,weekend,33.19403065980111
Route_1,low,good,rainy,42,37.98264854158447,20.600089826472882,morning,weekend,21.258865414186943
Route_1,medium,good,rainy,35,29.354451199849517,19.162949251781317,morning,weekday,36.30191152819604
Route_1,low,poor,foggy,18,42.14231001072365,27.94670717454871,morning,weekend,30.410928329832725
Route_1,medium,poor,sunny,24,29.853648747631112,7.259396749114548,evening,weekday,22.605555104332424
Route_1,medium,good,rainy,27,51.249071634060215,18.604223607035376,evening,weekend,16.9258651740277
Route_1,low,average,foggy,32,54.18285291257726,26.067116089704978,evening,weekend,27.235818466158495
Route_1,high,average,foggy,22,33.13905628951923,25.602547100636606,night,weekday,42.8192365911547
Route_1,low,good,foggy,33,56.659932668588525,21.964469577049755,evening,weekday,35.60309138953444
Route_1,high,average,rainy,34,30.55171109128402,27.255738781137673,afternoon,weekday,45.127816145546205
Route_1,low,poor,foggy,26,21.84135863842318,22.886797597753176,night,weekday,27.096625020596836
Route_1,medium,good,sunny,49,47.7198523331797,10.221020983603367,morning,weekday,20.644432487092715
Route_1,high,average,rainy,24,38.761829318875385,26.479921830556293,night,weekend,34.73351458125142
Route_1,high,average,rainy,32,43.336650779049265,26.002782507658903,evening,weekday,50.9575565131987
Route_1,high,poor,sunny,23,57.606755722667394,25.46517596204513,night,weekend,36.43900039676542
Route_1,medium,poor,sunny,36,23.768549678504453,8.126529962056074,evening,weekday,28.4265948947265
Route_1,high,poor,foggy,39,25.562847478403743,20.519489573964897,evening,weekday,50.83700217183575
Route_1,low,average,rainy,15,47.02490229516105,27.38951456317816,morning,weekend,24.25939139443715
Route_1,low,poor,foggy,40,45.969360631946614,15.065704419799651,night,weekday,30.880962617563053
Route_1,low,average,foggy,45,51.29591448022255,18.72139154762377,afternoon,weekend,16.695961670674926
Route_1,medium,good,foggy,45,56.21125974768641,27.909320250906273,morning,weekend,22.094138052111443
Route_1,high,average,foggy,39,59.73926474093068,24.12436301679786,evening,weekday,45.643332132387684
Route_1,high,poor,rainy,27,47.41472907340349,11.907499575696512,evening,weekday,70.92550558540665
Route_1,medium,poor,foggy,33,26.5232801487722,22.577662752364688,afternoon,weekday,23.855521195366002
Route_1,high,good,sunny,14,26.56893165586939,16.203076913711147,morning,weekend,27.453682766290296
Route_1,medium,poor,sunny,50,28.562511866883455,23.602323337510594,morning,weekday,24.314242790102938
Route_1,high,poor,sunny,47,25.952084803252173,6.200855393800842,afternoon,weekend,41.45444940810396
Route_1,low,good,sunny,44,46.55044181795434,11.86789260538265,night,weekday,5.593612986847744
Route_1,high,poor,foggy,22,34.82807161324408,18.626718813362956,night,weekend,40.24471995101288
Route_1,low,poor,rainy,32,34.15343782253255,6.995482465936949,evening,weekend,42.89450259290693
Route_1,medium,poor,foggy,50,59.98142117099597,7.6766999182866655,evening,weekday,35.335864089485526
Route_1,high,average,rainy,25,30.70519228691508,7.414922045133316,morning,weekday,42.809982856252105
Route_1,medium,average,foggy,24,42.56809632712454,12.371347645351538,night,weekend,16.177156739291753
Route_1,high,average,foggy,25,43.78026612415333,8.926432648655727,night,weekend,28.8840039791195
Route_1,high,average,sunny,46,26.161955822734644,18.424906191786064,night,weekday,23.940572933353195
Route_1,low,good,rainy,28,46.14406513845247,20.562749545729993,afternoon,weekday,22.59898360989613
Route_1,low,good,sunny,11,57.27448070463565,9.507630823234908,morning,weekend,19.68350264824258
Route_1,high,good,sunny,30,56.519147067202496,5.219109540073845,afternoon,weekday,27.182671335333815
Route_1,high,good,rainy,48,39.13535822888467,5.7351150708698935,night,weekend,35.568183108176534
Route_1,high,poor,foggy,50,27.265152583758848,8.384575590095048,morning,weekday,60.4121664839833
Route_1,medium,average,foggy,12,35.63807972436221,7.6440888369626325,evening,weekday,24.85817093859132
Route_1,low,good,rainy,49,41.67248382025877,18.588222708039147,morning,weekday,26.224139047935775
Route_1,low,poor,rainy,34,59.01018887566171,8.119642660661547,evening,weekday,34.93858031335288
Route_1,medium,good,foggy,35,54.57137760176239,13.286010581983083,morning,weekday,34.62800219067494
Route_1,low,good,rainy,34,53.14925942295227,14.417643484830293,afternoon,weekend,11.703829485416586
Route_1,medium,average,sunny,33,30.750852145982208,21.070505143301684,evening,weekday,19.105590863840792
Route_1,low,poor,rainy,36,28.041863676783176,8.378261266230002,afternoon,weekend,30.86457833213021
Route_1,medium,poor,foggy,23,28.525201769784907,29.855645616164363,afternoon,weekend,36.54708875929099
Route_1,medium,poor,sunny,19,54.04686986325495,23.693477620403986,evening,weekday,31.75070724253229
Route_1,medium,average,foggy,19,46.014276147363,12.643644225522264,afternoon,weekend,16.050886085148285
Route_1,high,average,rainy,25,33.36023786292145,25.24181179309352,afternoon,weekday,30.550442470143572
Route_1,medium,good,sunny,15,42.044506749487525,27.19205182934838,morning,weekday,27.007882255902725
Route_1,medium,poor,foggy,37,24.00399698929597,18.638039709625755,morning,weekend,31.82170472444001
Route_1,low,average,rainy,10,44.47222533995568,9.707931489542588,night,weekend,21.669491145050074
Route_1,low,good,rainy,15,58.66958841041417,24.30224558497395,evening,weekday,24.88009785604949
Route_1,high,good,sunny,49,24.127307016845627,13.289734265054374,morning,weekend,44.49655426163581
Route_1,high,good,rainy,39,30.257500284203406,9.573176569347412,afternoon,weekend,22.863159671427177
Route_1,high,average,rainy,43,42.20941455116731,27.202274422349703,night,weekday,44.00882716602209
Route_1,low,poor,rainy,31,46.86305534552882,23.303876941522464,morning,weekend,49.056872424945624
Route_1,high,average,foggy,37,48.68276362168886,11.691514151368661,evening,weekday,37.11122690019347
Route_1,medium,poor,foggy,21,48.00746691977267,29.389053867051125,afternoon,weekend,36.41237654377768
Route_1,high,good,rainy,33,58.82374351633859,8.514435974398705,morning,weekend,38.85579740789824
Route_1,low,poor,foggy,43,21.32178123551342,20.717722552245327,afternoon,weekday,32.989097868622096
Route_1,high,average,sunny,10,54.58547718237475,13.219645829523303,afternoon,weekend,22.298878680632825
Route_1,low,average,rainy,28,34.48932605070674,20.5886498665155,afternoon,weekend,16.490357297130622
Route_1,high,good,rainy,42,26.143918919796548,19.944206239379284,evening,weekday,49.17603807715639
Route_1,medium,good,rainy,16,53.295517140769626,16.79384112090237,evening,weekend,30.8761483048191
Route_1,low,good,sunny,42,43.21902134431058,27.606639288159876,afternoon,weekend,15.5542986037329
Route_1,medium,poor,foggy,15,37.74009407140517,29.70128399161194,evening,weekday,48.20380379439095
Route_1,medium,good,sunny,25,37.18581663929815,17.33925851983786,evening,weekday,27.08518397005136
Route_1,medium,good,sunny,15,46.40347457158543,26.29115958905615,afternoon,weekday,15.498202213313936
Route_1,high,good,foggy,16,50.51463275363942,18.23424337775623,afternoon,weekend,30.694079260690486
Route_1,low,poor,rainy,43,37.07653150156204,9.892747834968674,night,weekend,18.29806295777543
Route_1,high,average,foggy,13,55.325592427849976,24.413538255225546,morning,weekday,43.746119355481774
Route_1,medium,average,rainy,40,22.550142093563075,19.81465064747126,night,weekend,24.555135809368217
Route_1,high,average,foggy,29,23.452133403004332,13.460481191775013,evening,weekday,47.86806888815694
Route_1,low,average,rainy,11,45.762730601268416,26.91087595155719,afternoon,weekday,16.40812658598974
Route_1,medium,good,rainy,19,31.16883357533427,18.72286311580867,afternoon,weekend,20.72281220328226
Route_1,medium,good,rainy,40,57.896729573551134,24.819871924636338,morning,weekend,37.784862765955445
Route_1,low,poor,sunny,41,40.06545992434913,6.084598752574337,afternoon,weekday,21.55913780055639
Route_1,low,poor,sunny,17,39.94040693303648,8.149735316792265,night,weekday,21.509701650325805
Route_1,low,poor,rainy,42,52.00493594242146,26.31436877764718,night,weekday,28.97545326841707
Route_1,low,poor,foggy,30,20.39679792427801,15.849549211070267,morning,weekend,44.33797343133303
Route_1,medium,average,sunny,38,57.04005413881886,8.793747314038963,evening,weekend,20.68645265648317
Route_1,low,average,rainy,33,57.242789233484544,19.43977721737353,evening,weekend,29.13325521860666
Route_1,low,good,rainy,38,55.393619225861535,7.863420980357814,afternoon,weekday,15.166519455306364
Route_1,high,good,rainy,49,50.188560803292674,9.19771292581097,night,weekend,42.48442104671839
Route_1,low,good,foggy,20,31.87556458139766,18.559619180696416,morning,weekday,33.224359829452695
Route_1,low,good,sunny,19,21.873818112353774,29.194829173888845,night,weekend,11.837999868111893
Route_1,low,poor,sunny,14,38.88651291467664,11.072384067749345,evening,weekend,37.61798838970238
Route_1,medium,average,sunny,10,22.019224993934557,13.124346091161094,evening,weekday,24.88765096038921
Route_1,medium,poor,sunny,20,58.85710235044843,29.942896710958728,afternoon,weekend,24.336428513409842
Route_1,low,average,foggy,38,59.28113413709626,25.15946743198686,afternoon,weekday,19.324245042682815
Route_1,medium,average,rainy,12,40.51932268179582,11.465155064558335,night,weekday,21.100512884750124
Route_1,high,good,rainy,49,38.29306023918831,19.79599140407082,afternoon,weekday,32.04987018666388
Route_1,medium,poor,sunny,17,45.890537329547044,14.313447525900745,morning,weekend,32.94952409671826
Route_1,low,poor,sunny,33,51.00696577012195,13.03952496291094,afternoon,weekday,17.50481081422288
Route_1,low,average,foggy,15,24.490786121703188,9.578930311831414,night,weekday,12.868580625182965
Route_1,medium,good,rainy,29,54.74977249526884,26.670883219905377,afternoon,weekend,12.24711230815037
Route_1,high,poor,sunny,10,23.992871474764566,6.101723761569476,afternoon,weekend,27.565886752749957
Route_1,high,good,sunny,23,26.699393135871162,11.153340096128897,evening,weekend,34.99555784601399
Route_1,high,average,sunny,46,52.27459427312383,12.93151710044566,morning,weekday,49.17261249282139
Route_1,high,average,sunny,15,54.96103800092083,29.11746881499381,evening,weekday,31.680785729824365
Route_1,medium,average,foggy,50,52.99159777739827,10.785640266647304,afternoon,weekday,23.81902749711334
Route_1,medium,poor,foggy,14,33.96149995892523,19.796234135729378,evening,weekday,28.120919550907736
Route_1,low,poor,rainy,50,44.66324876714897,28.691592783077827,morning,weekday,31.3834739774941
Route_1,medium,average,foggy,49,29.794882514857743,6.269742209841429,afternoon,weekend,10.05211697366165
Route_1,high,good,rainy,20,47.51843019389257,19.820909172680356,afternoon,weekday,39.70451033273264
Route_1,medium,average,sunny,49,49.99727345474534,16.799188699400467,night,weekend,7.603061690520827
Route_1,high,average,foggy,38,30.91135826072997,28.22680336231446,evening,weekend,33.13807788382955
Route_1,medium,good,sunny,17,21.660357363960188,10.149105946862552,evening,weekend,29.979302317825862
Route_1,medium,poor,rainy,49,34.81512387615983,14.316460485341727,evening,weekend,45.530558044448874
Route_1,high,good,sunny,43,48.65952997589007,19.21393335854097,night,weekday,33.6240424098508
Route_1,low,average,rainy,39,59.39974103480037,8.393575786721303,afternoon,weekend,21.298512635425286
Route_1,low,poor,sunny,26,46.516393908621055,24.196931334181695,night,weekend,15.029633105102763
Route_1,low,good,sunny,43,25.831607648961935,19.909027163319152,night,weekday,16.041697705431808
Route_1,high,poor,foggy,40,36.31971255333471,22.292918762166014,evening,weekday,51.75136308502155
Route_1,low,average,sunny,23,42.7692042105733,19.01631318101324,evening,weekend,21.12170921916373
Route_1,high,good,sunny,31,35.775885241368755,22.301759506597563,morning,weekday,34.83571234121886
Route_1,medium,poor,sunny,47,51.10160905171712,29.34207170337388,night,weekend,16.0205233147706
Route_1,low,good,rainy,25,22.055314902845808,15.466967050666076,night,weekday,20.6819842955222
Route_1,low,average,rainy,38,58.22022137902515,24.50470023141168,evening,weekday,30.92571771932606
Route_1,high,poor,foggy,13,34.269898493093464,7.834102623744156,evening,weekday,57.5261941351996
Route_1,medium,average,sunny,18,29.4884986842779,19.93211694863039,night,weekday,15.59447127144146
Route_1,medium,average,foggy,23,43.76228556869904,21.68808873947105,afternoon,weekend,16.591231148341294
Route_1,high,average,foggy,43,32.43324163189754,23.633860105691863,night,weekday,37.72735698129676
Route_1,medium,poor,rainy,50,32.975389418731964,23.17070892996616,afternoon,weekday,23.50282812832239
Route_1,low,poor,foggy,32,50.38705647067934,29.415527362280233,morning,weekend,31.40678293880422
Route_1,low,good,rainy,20,43.520703200101806,23.698586818127318,evening,weekday,35.61828791640376
Route_1,high,poor,foggy,48,48.727389826564234,7.992736045417512,evening,weekday,61.9768604746169
Route_1,low,average,foggy,39,54.44108067340828,15.933432406886807,evening,weekend,31.119981585930425
Route_1,medium,average,rainy,13,24.034763108899856,19.208714768035286,afternoon,weekday,22.95865768790823
Route_1,low,average,rainy,37,45.23701823277353,9.627596996478658,afternoon,weekend,14.56769014900747
Route_1,low,good,foggy,38,47.24855585726857,21.599495590750905,morning,weekend,22.7657440184357
Route_1,low,good,rainy,39,28.031238691863063,25.85620980984503,morning,weekday,38.56800658341632
Route_1,low,average,sunny,11,29.83458108118934,7.7354506137703405,afternoon,weekday,15.758496809768037
Route_1,medium,poor,sunny,13,37.08573838772028,9.002729794308463,night,weekday,17.49546144945381
Route_1,low,poor,foggy,45,26.216618919782334,21.089387638102348,night,weekday,27.610830245261393
Route_1,high,average,rainy,12,20.10297411370587,22.164836328255568,night,weekend,35.86595288729964
Route_1,low,average,rainy,16,27.27757319135241,25.096047672189606,morning,weekday,19.96505779467731
Route_1,low,average,rainy,20,29.790433373240035,12.509279520165563,night,weekday,25.15033653807339
Route_1,medium,poor,rainy,26,54.14161091789616,23.29222013780384,morning,weekend,37.62323996089905
Route_1,medium,poor,rainy,46,57.620701094307414,26.206793900527256,afternoon,weekday,29.81795453750029
Route_1,medium,good,foggy,10,44.754965130892245,14.782079966655221,afternoon,weekend,17.483437708413387
